Код;Артикул;Номенклатура;Остаток;Цена
024880;М203;Воронка комбинированная/50/;59;23.31
026990;М6115;Воронка набор 3шт.Цветы на подставке /15/;33;47.84
015807;М1515;Горка для купания голубой /5/;7;133.76
015808;М1514;Горка для купания розовый /5/;9;133.76
024162;М4602;ГоршокВаленсия 1,7л. с подст беж-корич. /18/;6;82.88
022739;М4504;ГоршокВаленсия 1,7л. с подст кор.-сл.кость /18/;7;84.37
023131;М4592;ГоршокВаленсия 1,7л. с подст мед-беж /18/;14;84.37
025319;М4600;ГоршокВаленсия 3,4л. с подст беж-корич. /16/;11;143.45
015146;М1234;ГоршокВосторг 1,5л. с подст белый /24/;24;39.86
015134;М1218;ГоршокВосторг 1,5л. с подст зел. /24/;18;39.86
015484;М1229;ГоршокВосторг 1,5л. с подст св-желтый /24/;4;39.86
015135;М1219;ГоршокВосторг 3л. с поддоном зел. /25/;13;61.92
015147;М1235;ГоршокВосторг 3л. с подст белый /25/;13;61.92
026769;М1910;ГоршокГербера 3л. бел. с подст. /20/;10;91.15
023132;М4419;ГоршокЖозефина 1,8л. с подст/30/;7;80.40
022807;М4983;ГоршокЗолотая осень 1,2л. с подст бел. /21/;41;56.60
009770;М1418;ГоршокМадера 2,5л. с подст белый /25/;17;60.78
024164;М1586;ГоршокМадера 2,5л. с подст медный /25/;11;59.74
030338;М1517;ГоршокМадера 3,5л. с подст белый /20/;7;77.95
015978;М1419;ГоршокМадера 7л. с подст белый /15/;8;111.33
015918;М1587;ГоршокМадера 7л. с подст медный /15/;6;111.33
026772;М6050;ГоршокМеланж 1,5л. роз. с подст. /20/;14;76.07
026756;М6088;ГоршокРондо0,8л с под.белый /18/;14;25.28
026757;М6089;ГоршокРондо0,8л с под.корич./18/;18;25.28
026758;М6090;ГоршокРондо1л с под.белый./16/;9;28.41
026759;М6091;ГоршокРондо1л с под.корич./16/;16;28.41
026764;М2785;ГоршокФантастика 3л. бел. с подст. /16/;7;46.66
026765;М2786;ГоршокФантастика 3л. корич. с подст. /16/;33;46.66
026766;М2771;ГоршокФантастика 4,5л. бел. с подст. /16/;11;71.81
026768;М2790;ГоршокФантастика 4,5л. корич. с подст. /16/;14;71.81
022814;М5108;Горшок0,4л. бел. /36/;43;18.43
022816;М5107;Горшок0,4л. медный /36/;14;18.13
019413;М1797;Горшок - кашпо АжурМагнолии 1л. с подст белый /20/;4;46.10
018541;М2397;Горшок - кашпо Аленушка 1л. с под. /20/;34;50.89
018542;М2401;Горшок - кашпо Аленушка 2л. с под. /30/;15;71.59
018543;М2405;Горшок - кашпо Аленушка 3л. с под. /20/;11;98.69
020674;М4044;Горшок - кашпо Гета 3л. с под. /20/;7;93.56
020231;М3595;Горшок - кашпо Дольче Вита 2л. с под.красно-бел. /24/;18;90.68
015501;М1461;Горшок - кашпо Лозанна 17л. с под. медный/10/;4;225.75
015502;М1613;Горшок - кашпо Лозанна 25л. с под. белый /5/;5;363.52
015503;М1462;Горшок - кашпо Лозанна 25л. с под. медный /5/;5;363.52
021754;М1616;Горшок - кашпо Лозанна 40л. с под. белый /5/;5;506.30
021881;М1465;Горшок - кашпо Лозанна 40л. с под. медный /5/;10;506.30
019414;М1615;Горшок - кашпо Лозанна квадр. 3л. с под. белый /15/;12;65.62
019415;М1464;Горшок - кашпо Лозанна квадр. 3л. с под. медный /15/;7;64.48
019416;М1618;Горшок - кашпо Лозанна квадр. 5л. с под. белый /20/;22;107.71
019417;М1467;Горшок - кашпо Лозанна квадр. 5л. с под. медный /20/;8;105.84
019418;М1470;Горшок - кашпо Лозанна квадр. 8л. с под. белый /16/;6;149.58
019419;М1471;Горшок - кашпо Лозанна квадр. 8л. с под. медный /16/;10;149.58
025711;М5919;Горшок - кашпо Мирабель 1,5л.с под.белый /22/;12;43.96
026280;М5920;Горшок - кашпо Мирабель 2,5л.с поддон.белый. /30/;1;66.71
025714;М5924;Горшок - кашпо Мирабель 3,5л.с под.корич. /20/;2;81.13
020584;М4032;Горшок - кашпо Мишель 1л. с под. /20/;41;53.73
020585;М4034;Горшок - кашпо Мишель 3л. с под. /20/;10;93.56
022830;М5027;Горшок - кашпо Очарование 1л. золотая осень /24/;17;47.32
025324;М2410;Горшок - кашпо Палитра 5,5л. с под. /15/;14;129.54
025327;М3382;Горшок - кашпо София 4,5л. бел. с под. /24/;17;87.84
030336;М1537;Горшок Виола 10л. с под. корич /10/;1;152.64
015441;М1347;Горшок Виола 10л. с поддоном белый /10/;4;152.64
015478;М1348;Горшок Виола 16л. с поддоном белый /10/;1;206.14
016116;М1529;Горшок Виола 1л. с под.белый /20/;26;22.97
015999;М1331;Горшок Виола 1л. с под.корич /20/;40;22.97
015479;М1335;Горшок Виола 2л. с под. белый /20/;12;38.73
016000;М1339;Горшок Виола 3,5л. с под. белый /20/;3;56.21
016118;М1533;Горшок Виола 3,5л. с под. корич /20/;3;56.21
015481;М1343;Горшок Виола 5л. с под. белый /15/;3;71.34
016003;М1535;Горшок Виола 5л. с под. корич /15/;13;72.55
015498;М1459;Горшок Лозанна 1.5л. с под. медный /30/;28;41.83
015504;М1614;Горшок Лозанна 3л. с под.белый /30/;31;63.58
015505;М1463;Горшок Лозанна 3л. с под.медный /30/;25;63.58
015439;М1617;Горшок Лозанна 4л. с под. белый /20/;9;74.98
015507;М1469;Горшок Лозанна 7л. с под. медный /20/;4;110.94
015486;М1521;Горшок Розалия 0,8л. с под. белый /30/;40;22.80
015487;М1520;Горшок Розалия 0,8л. с под. медный /30/;28;23.18
015488;М1424;Горшок Розалия 1,2л. с под. белый /25/;50;33.29
015489;М1592;Горшок Розалия 1,2л. с под. медный/корич. /25/;23;33.25
015490;М1523;Горшок Розалия 3,2л. с под. белый /30/;7;60.35
015491;М1522;Горшок Розалия 3,2л. с под. медный /30/;17;61.40
028620;М1598;Горшок Совершенство1,2л. с под. белый /21/;19;50.11
015492;М1599;Горшок Совершенство1,8л. с под. белый /30/;17;58.52
015515;М1491;Горшок Фламинго 15л. с под. белый /10/;1;193.55
024166;М1490;Горшок Фламинго 15л. с под. корич. /10/;9;196.95
015811;М1324;Горшок детский с крышкой Малышок голубой /10/;33;80.00
015809;М1527;Горшок детский с крышкой Малышок красный /10/;7;80.00
028621;М3125;Горшок для орхидеи 0,7л. с поддоном прозрачный /20/;37;43.82
015818;М1452;Горшок для орхидеи 1,2л. с поддоном зеленый прозр. /21/;3;45.97
023834;М1604;Горшок для орхидеи 1,8л. с поддоном прозрачный /30/;2;54.33
015820;М1454;Горшок для орхидеи 2л. с поддоном зеленый прозрач. /20/;32;37.81
015821;М1605;Горшок для орхидеи 2л. с поддоном прозрачный /20/;25;37.81
015921;М1455;Горшок для орхидеи 3,5л. с поддоном зеленый прозрач /20/;27;82.22
015495;М1606;Горшок для орхидеи 3,5л.с поддоном прозрачный /20/;30;82.22
024620;М5554;Горшок для орхидей0,8л. с поддоном /20/;40;23.93
019356;М2801;Горшок для орхидей Камилла 1,2л. с поддоном фиол. /21/;9;61.61
019598;М3063;Горшок для орхидей Флора 2л. с поддоном /25/;55;52.55
030898;М6756;Горшок для цветов Эллада 1,5л.светло-коричн./20/;8;60.39
030899;М6735;Горшок для цветов Эллада 1,5л.светло-фиолетов./20/;4;60.39
030900;М6755;Горшок для цветов Эллада 1,5л.слоновая кость./20/;5;60.39
016002;М1326;Горшок-стульчик голубой /6/;11;209.06
015983;М1328;Горшок-стульчик желтый /6/;7;209.06
015982;М1528;Горшок-стульчик розовый /6/;14;209.06
015984;М1327;Горшок-стульчик фиолетов /6/;6;209.06
025816;М1776;Держатель для бум. полотенец /18/;38;55.46
030322;М1666;Держатель для молока 0,5л. /36/;44;25.94
016533;М1667;Держатель для молока 1л. /24/;59;33.73
012602;М1136;Держатель для туалетной бумаги Модерн /16/;24;63.09
012603;М1129;Держатель для туалетной бумаги Фантазия /20/;44;47.71
026989;М6052;Держатель для туалетной бумаги и освеж. воздуха /16/;123;68.71
019797;М3126;Доска разделочная 290*185*3 /20/;11;53.43
026074;М5556;Доска разделочная микс./20/;1;122.40
012604;М1154;Дуршлаг - фруктомойка /17/;16;69.28
005113;М597;Дуршлаг с ручкой 3л. /15/;25;38.77
005114;М592;Дуршлаг с чашей 3л. /10/;8;84.53
029880;М6180;Емкость Ар-деко для СВЧ 0,65л./20/;42;39.82
029879;М6181;Емкость Ар-деко для СВЧ 1,2л./22/;33;50.59
028623;М1718;Емкость Ассорти 1л.сахар /12/;15;78.35
028624;М1716;Емкость Ассорти 1л.соль /12/;21;78.35
028625;М4458;Емкость Ассорти мерная 0,7л. /12/;28;60.31
030717;М6668;Емкость Витамины для СВЧ 0,8л. квадр /32/;11;51.76
030718;М6669;Емкость Витамины для СВЧ 1,2л. квадр /20/;32;65.49
030719;М6671;Емкость Витамины для СВЧ 3,0л. квадр /24/;21;103.47
028627;М3640;Емкость Клубничка для СВЧ 0,8л. квадр /32/;35;41.65
020495;М3641;Емкость Клубничка для СВЧ 1,2л. квадр /20/;16;51.55
020454;М3642;Емкость Клубничка для СВЧ 2л. квадр /25/;25;67.49
028166;М3643;Емкость Клубничка для СВЧ 3л. квадр /24/;33;83.31
022838;М5085;Емкость Мозайка люкс 0,65 л. с ложкой жел. /22/;18;49.15
022839;М5096;Емкость Мозайка люкс 0,65 л. с ложкой зел. /22/;12;49.15
020279;М2537;Емкость Плетенка 1л. слон.кость /20/;11;51.63
